hora,minuto,temp_minima,temp_maxima,latitude_media,longitude_media,Classe
11,29,-12.48,18.24,47.420177,10.659458,frio	
11,29,21.10,33.67,15.268764,77.501568,alerta	
11,29,-10.28,25.40,47.419079,20.130867,frio	
11,29,-14.64,23.03,42.589512,133.090895,frio	
11,29,23.77,29.17,2.410149,102.052288,alerta	
11,28,12.29,28.82,23.308397,121.459784,quente	
11,29,7.50,28.95,24.920357,118.819291,moderado	
11,29,11.33,35.92,28.130240,79.089629,quente	
11,29,-17.41,23.98,52.238522,31.530264,frio	
11,29,23.96,29.11,2.410568,102.049173,alerta	
11,30,-3.85,27.65,36.172113,137.239216,moderado	
11,29,-13.85,27.06,40.991154,121.420910,frio	
11,29,-10.19,25.12,45.811241,21.919580,frio	
11,29,6.43,27.61,39.379822,2.079971,moderado	
11,29,23.15,31.10,10.450542,105.548435,alerta	
11,29,13.75,33.53,23.311179,86.498837,alerta	
11,29,-12.06,22.97,50.630064,19.009627,frio	
11,29,-15.57,22.91,52.240021,26.280216,frio	
11,29,-7.50,21.92,50.630337,6.339911,frio	
11,29,-16.61,23.76,52.238668,31.529810,frio	
11,29,-19.64,24.88,55.450682,36.848778,frio	
11,28,22.59,30.34,15.270350,120.828455,alerta	
11,29,-13.58,21.16,36.168619,103.430257,frio	
11,29,-7.52,23.17,45.810250,10.380457,frio	
11,29,-1.83,31.76,32.951160,48.830681,moderado	
11,30,14.95,31.22,23.310554,89.998992,alerta	
11,29,21.91,29.48,13.661040,121.380121,alerta	
11,29,20.56,33.92,10.452101,10.640066,alerta	
11,29,-7.62,24.30,45.809982,10.380419,frio	
11,28,21.94,34.03,12.049614,4.930187,alerta	
11,29,20.09,35.54,16.870233,80.370078,alerta	
11,29,-7.72,22.22,50.630920,6.339914,frio	
11,29,23.27,29.38,5.629676,119.460488,alerta	
11,29,21.90,30.84,7.228705,4.050264,alerta	
11,29,22.03,30.04,13.659013,98.259155,alerta	
11,29,15.59,35.69,21.699248,77.020548,alerta	
11,29,16.29,35.66,21.698882,77.019901,alerta	
11,29,5.34,29.28,26.519860,118.210488,moderado	
11,29,-10.21,26.47,45.811430,35.769994,moderado	
11,28,-26.87,25.83,45.808385,125.767693,frio	
11,29,-9.62,26.91,44.198156,26.831233,moderado	
11,29,-30.07,22.01,57.048891,84.099264,frio	
11,30,-3.58,30.06,32.950862,113.939615,moderado	
11,29,21.30,30.39,7.229471,4.050081,alerta	
11,28,20.63,31.64,13.660298,99.910026,alerta	
11,29,-9.37,22.45,52.238637,10.511378,frio	
11,29,-21.55,23.85,55.449984,48.188914,frio	
11,29,-9.43,22.45,49.029681,9.800533,frio	
11,29,22.17,31.72,8.839964,7.299651,alerta	
11,29,12.27,31.23,26.519485,85.969574,quente	
11,29,20.67,30.12,10.450008,77.728153,alerta	
11,29,-24.23,21.53,55.449260,59.529762,frio	
11,28,3.17,31.03,34.559818,71.999728,moderado	
11,29,-7.09,27.77,37.780660,113.899348,moderado	
11,29,18.32,37.56,20.090836,78.480400,alerta	
11,29,-12.97,21.72,53.840192,17.729009,frio	
11,28,22.44,30.35,15.266901,120.828569,alerta	
11,29,-11.26,23.32,49.030328,17.140270,frio	
11,29,1.02,29.16,34.562869,134.269356,moderado	
11,29,7.69,34.13,32.949637,73.720199,quente	
11,29,-1.35,31.21,31.348817,118.738205,moderado	
11,29,-20.68,22.20,57.051022,39.840515,frio	
11,29,23.38,30.36,8.838741,104.588748,alerta	
11,29,7.09,35.39,28.129240,57.269063,quente	
11,29,23.45,30.32,10.450826,123.547734,alerta	
11,29,9.34,36.75,31.351781,73.509958,quente	
11,29,0.27,30.99,29.738455,112.622275,moderado	
11,29,-1.46,27.20,36.170481,139.231363,moderado	
11,29,-27.29,25.52,50.629067,59.578865,frio	
11,29,-16.11,21.58,55.451811,25.509321,frio	
11,29,-9.58,25.98,36.169692,113.372009,moderado	
11,28,-11.74,20.99,50.630068,11.409946,frio	
11,28,0.75,29.13,34.560404,134.268932,moderado	
11,30,16.29,25.53,8.838758,39.730198,quente	
11,29,-1.86,27.61,36.169077,139.229053,moderado	
11,29,0.34,31.23,29.739722,112.620152,moderado	
11,29,18.42,35.89,18.479102,77.751551,alerta	
11,29,-7.82,22.22,52.240277,7.878527,frio	
11,29,-12.71,24.09,44.198691,42.480137,frio	
11,30,-8.12,27.02,34.559270,48.648130,moderado	
11,29,-5.13,31.09,34.560859,50.588890,moderado	
11,29,-13.55,22.39,49.029458,22.039578,frio	
11,29,14.11,31.78,24.918696,88.669241,alerta	
11,29,-22.36,23.90,55.449921,48.191233,frio	
11,29,-8.98,27.18,36.170241,59.669630,moderado	
11,29,0.08,30.87,29.739723,112.619794,moderado	
11,29,-23.49,23.50,55.450192,53.860128,frio	
11,29,-1.58,27.23,36.170666,139.229792,moderado	
11,29,-9.47,25.06,40.990960,44.728871,frio	
11,29,12.57,37.01,26.519206,77.010259,alerta	
11,29,16.43,32.09,20.091529,73.359384,alerta	
11,28,-1.36,27.58,36.169966,139.229187,moderado	
11,29,16.52,33.69,23.311561,69.030007,alerta	
11,29,19.59,33.72,16.870326,82.050711,alerta	
11,29,0.22,24.13,26.521448,105.669625,moderado	
11,29,19.67,30.82,15.269233,75.829714,alerta	
11,28,21.54,33.11,10.450051,41.729215,alerta	
11,29,-22.48,28.32,50.629428,46.900869,frio	
11,29,9.28,32.99,26.520542,30.449163,quente	
11,29,-15.87,21.78,55.449783,25.509620,frio	
11,29,-1.23,30.69,31.349360,113.092696,moderado	
11,29,13.18,36.55,24.919668,81.578605,alerta	
11,29,11.43,36.79,28.128763,77.269300,alerta	
11,29,-32.75,21.23,50.630001,138.170009,frio	
11,29,1.28,28.94,34.561685,136.221818,moderado	
11,30,23.57,28.87,2.410666,102.049876,alerta	
11,30,-8.47,28.62,39.379402,66.589407,moderado	
11,29,22.25,31.24,10.449970,105.547562,alerta	
11,30,17.74,33.02,21.699824,96.059667,alerta	
11,29,20.77,31.82,16.868996,95.440733,alerta	
11,29,9.00,29.37,32.950547,14.359065,moderado	
11,29,-8.13,17.95,58.660023,6.150242,frio	
11,29,9.60,37.01,29.739347,75.690270,quente	
11,30,14.75,33.36,23.310004,86.500176,alerta	
11,29,20.81,31.08,18.479605,72.677950,alerta	
11,29,9.73,29.98,32.948914,14.360212,moderado	
11,29,21.47,27.85,2.408800,32.948303,quente	
11,29,-15.64,15.96,36.169871,101.440488,frio	
11,29,9.24,31.16,29.740165,31.381440,quente	
11,29,14.14,31.82,18.480768,106.481570,quente	
11,29,-0.42,30.37,28.129495,111.820443,moderado	
11,29,4.67,30.41,22.648703,106.639443,moderado	
11,30,-8.58,24.15,42.589673,21.819906,frio	
11,29,-1.46,26.95,36.168745,139.230856,moderado	
11,29,9.90,29.04,31.351410,33.932057,moderado	
11,29,-9.70,21.05,47.419923,8.290799,frio	
11,29,-0.32,28.48,31.348649,109.320184,moderado	
11,29,-12.34,23.25,45.810483,26.540240,frio	
11,29,18.73,26.82,7.232486,13.780995,quente	
11,29,11.07,36.40,26.520155,78.808641,alerta	
11,29,21.84,30.61,8.841880,99.729195,alerta	
11,29,-0.77,30.55,31.350237,113.089810,moderado	
11,28,-3.56,28.29,36.169354,51.709547,moderado	
11,30,10.28,30.32,23.309724,116.210520,quente	
11,30,21.34,32.45,12.050596,78.898931,alerta	
11,29,12.58,34.10,26.518955,84.179492,quente	
11,29,1.32,28.63,34.559255,136.220355,moderado	
11,29,11.17,33.74,28.130012,80.909047,quente	
11,29,-4.73,25.44,37.781333,34.578851,moderado	
11,29,-3.45,27.94,36.170781,51.710458,moderado	
11,29,-7.75,30.58,39.379931,64.509261,moderado	
11,29,23.44,29.08,2.409409,111.697925,alerta	
11,29,21.89,30.08,7.228474,5.680281,alerta	
11,29,10.03,34.86,29.739437,77.541085,quente	
11,30,2.16,30.44,32.950038,37.339476,moderado	
11,29,0.77,29.54,34.561616,134.268229,moderado	
11,29,-3.90,30.31,34.560699,114.809279,moderado	
11,29,11.79,37.03,26.519914,78.809689,quente	
11,29,-13.14,25.07,47.419128,29.609596,frio	
11,29,-22.49,18.19,65.088519,40.211184,frio	
11,29,-5.51,21.62,50.629561,3.800028,frio	
11,29,-7.52,21.88,50.628698,6.339755,frio	
11,29,3.81,27.91,40.988829,8.519367,moderado	
11,30,-12.97,26.07,47.419249,31.969577,frio	
11,29,-11.87,21.66,45.808930,24.229093,frio	
11,29,-2.43,31.24,32.950769,115.850857,moderado	
11,29,1.27,22.52,31.349497,77.279629,moderado	
11,29,13.86,31.30,18.481281,106.480846,quente	
11,29,-13.29,22.00,50.630284,19.009856,frio	
11,29,-7.40,29.83,37.780906,117.969853,moderado	
11,29,-24.27,26.92,47.420842,67.499699,frio	
11,28,21.63,29.65,13.660455,121.380688,alerta	
11,29,-13.68,28.68,40.987560,85.209509,moderado	
11,30,-7.32,22.71,50.629090,6.340517,frio	
11,29,-19.10,28.59,49.030223,44.078782,frio	
11,29,17.43,32.23,21.702090,70.099598,alerta	
11,29,21.24,32.95,12.049328,78.899934,alerta	
11,29,3.37,30.67,34.560713,71.999050,moderado	
11,29,-12.96,19.19,47.421089,13.032017,frio	
11,29,9.07,30.60,23.309482,112.719180,quente	
11,29,15.20,34.24,21.700748,40.668477,alerta	
11,30,10.18,29.84,23.309389,116.209519,quente	
11,29,-24.98,23.16,55.447743,62.361005,frio	
11,29,3.43,28.16,34.561317,138.158474,moderado	
11,29,-2.74,24.98,44.201137,11.179948,moderado	
11,29,-14.38,26.96,40.990194,121.419384,frio	
11,30,-10.08,24.96,40.989841,44.729666,frio	
11,29,-0.39,27.55,40.989285,29.820073,moderado	
11,29,1.02,27.25,40.989998,14.910878,moderado	
11,29,1.71,30.61,39.380153,27.050519,moderado	
11,29,21.69,30.64,7.230409,5.681297,alerta	
11,29,-11.36,24.57,47.419650,22.500811,frio	
11,29,-3.40,28.25,36.168196,137.239152,moderado	
11,29,11.89,33.67,26.519174,84.180087,quente	
11,29,21.88,30.37,15.269643,120.832736,alerta	
11,29,23.72,31.17,10.451133,123.548685,alerta	
11,29,7.29,29.67,36.170811,31.818934,moderado	
11,29,-7.60,26.83,36.170495,49.718422,moderado	
11,29,10.95,30.39,21.699405,111.631412,quente	
11,29,-2.61,25.25,40.990358,36.209399,moderado	
11,29,-8.79,26.78,37.779426,126.100339,moderado	
11,29,-2.59,24.44,44.199358,2.238995,moderado	
11,29,-8.81,23.54,49.030532,9.799185,frio	
11,29,-3.90,23.65,40.991168,40.470584,moderado	
11,29,-9.63,23.65,49.029195,9.800131,frio	
11,29,-11.14,22.25,53.840877,14.999781,frio	
11,29,-19.79,24.89,52.239852,39.419076,frio	
11,28,-21.42,27.17,44.199869,125.220858,frio	
11,29,-0.45,30.59,31.348733,113.090445,moderado	
11,29,-13.66,22.74,44.198387,143.109930,frio	
11,29,-20.87,23.32,55.450141,42.519900,frio	
11,30,-6.59,21.06,52.239239,5.259803,frio	
11,29,-7.08,25.31,45.809844,17.309212,moderado	
11,29,-3.88,30.61,34.560334,116.760842,moderado	
11,29,-7.93,22.62,52.238544,7.880003,frio	
11,29,-6.35,29.31,37.780113,115.930782,moderado	
11,29,-19.77,24.28,55.450422,36.849577,frio	
11,29,20.29,31.02,15.269262,75.830443,alerta	
11,29,13.15,29.90,24.918462,122.359186,quente	
11,29,-2.76,26.14,32.949954,108.188846,moderado	
11,29,-8.62,24.22,44.201278,40.249847,frio	
11,29,14.37,36.38,23.309526,79.509709,quente	
11,29,11.47,36.78,26.520166,78.809617,alerta	
11,30,-33.63,20.73,61.878619,73.021792,frio	
11,29,-12.18,22.11,45.809720,26.540615,frio	
11,29,11.51,36.54,28.130408,77.269563,alerta	
11,29,-2.20,20.07,50.630786,1.268236,moderado	
11,29,-10.69,24.28,36.168966,107.398087,frio	
11,29,14.75,32.97,23.310854,88.249656,alerta	
11,29,0.06,26.85,40.990537,14.910482,moderado	
11,29,-15.26,27.91,47.420591,39.078508,frio	
11,29,22.07,28.79,4.020813,18.480211,quente	
11,29,21.62,30.63,8.840072,8.918737,alerta	
11,29,11.69,36.32,26.519953,80.599888,quente	
11,29,23.03,30.10,13.660913,123.030060,alerta	
11,29,-5.61,20.69,53.838271,6.820482,frio	
11,29,20.87,32.33,16.869064,95.439679,alerta	
11,30,23.60,30.02,10.450197,123.549937,alerta	
11,29,-1.76,27.60,36.170051,139.229826,moderado	
11,29,-10.59,25.57,39.381108,124.858375,frio	
11,28,19.28,34.82,16.869742,78.699504,alerta	
11,29,-15.73,21.46,53.840169,23.179961,frio	
11,29,23.32,29.12,0.799594,103.659146,alerta	
11,29,-27.89,25.57,47.420742,124.339746,frio	
11,28,21.60,30.51,18.480375,72.679681,alerta	
11,29,9.73,26.77,28.128630,95.450317,moderado	
11,28,9.77,30.64,21.698060,109.899308,quente	
11,29,-6.36,29.64,36.169339,45.749479,moderado	
11,29,10.59,36.46,29.738846,75.690158,quente	
11,29,-20.54,23.18,55.450679,39.690285,frio	
11,29,-2.34,31.01,32.949908,119.680218,moderado	
11,29,-18.15,22.88,40.989738,112.899521,frio	
11,29,3.37,27.77,34.560126,138.160108,moderado	
11,29,13.72,31.78,24.919636,88.669112,alerta	
11,30,-1.51,31.86,32.951879,48.830521,moderado	
11,29,22.62,27.73,0.799732,24.912289,quente	
11,29,-20.81,24.80,57.049950,42.790656,frio	
11,29,11.18,36.31,28.128509,77.269830,quente	
11,29,-8.22,22.62,52.240368,7.880052,frio	
11,29,3.39,29.47,29.738731,107.080605,moderado	
11,29,-17.37,24.28,52.239192,31.530340,frio	
11,29,1.20,28.61,34.558372,136.220205,moderado	
11,29,5.86,29.52,32.949412,35.428983,moderado	
11,29,3.55,30.95,29.740275,105.229834,moderado	
11,29,-4.95,32.08,34.560768,50.589729,moderado	
11,29,12.27,31.16,26.519514,85.970212,quente	
11,29,-1.66,27.11,36.170155,139.228999,moderado	
11,29,22.58,35.79,12.049430,42.738681,alerta	
11,29,-24.15,25.18,53.840371,50.450151,frio	
11,29,-12.43,25.22,37.781666,111.860596,frio	
11,29,22.52,30.69,12.050640,101.920168,alerta	
11,30,-23.84,21.83,55.450045,56.690539,frio	
11,29,8.94,35.68,31.350411,73.511394,quente	
11,29,21.86,31.21,13.660032,99.910165,alerta	
11,29,1.64,37.02,27.326311,80.783132,quente	
11,29,-6.42,28.32,36.169182,119.340101,moderado	
11,29,9.50,36.54,29.740607,75.688439,quente	
11,30,22.64,31.19,7.229678,81.889816,alerta	
11,29,-21.77,25.79,53.840627,45.001006,frio	
11,29,1.20,28.75,34.557596,136.219906,moderado	
11,29,-2.74,30.66,32.949270,117.769506,moderado	
11,29,9.04,30.70,29.739415,31.380843,quente	
11,29,-2.74,25.50,47.419193,1.178609,moderado	
11,29,-3.22,27.24,44.199390,11.179545,moderado	
11,29,10.06,30.24,23.309274,116.209303,quente	
11,29,-3.74,25.22,44.199991,11.180062,moderado	
11,29,11.57,36.67,26.520081,68.060642,alerta	
11,28,22.92,30.26,5.629873,6.459204,alerta	
11,29,-7.62,21.66,52.239341,7.880544,frio	
11,29,-6.29,21.64,52.239710,5.259927,frio	
11,29,19.16,27.49,12.050573,108.491321,quente	
11,29,23.28,28.30,7.228011,125.681090,alerta	
11,29,-6.62,25.66,40.990604,140.589570,frio	
11,29,23.45,30.28,10.450220,76.089248,alerta	
11,28,-19.10,14.06,37.779439,101.688165,frio	
11,28,-20.12,30.85,47.419725,50.920079,frio	
11,29,18.22,23.76,0.800019,34.550167,quente	
11,29,15.55,32.62,23.310691,88.250503,alerta	
11,29,21.77,29.88,13.661863,121.379206,alerta	
11,29,3.22,30.14,32.949841,37.339424,moderado	
11,29,-7.42,22.91,50.629818,6.339255,frio	
11,29,-2.35,30.33,32.951770,119.679869,moderado	
11,29,14.63,35.27,23.310216,76.020637,quente	
11,29,-18.54,25.98,52.239179,39.421775,frio	
11,29,4.26,28.41,34.558899,140.108877,moderado	
11,29,-1.26,27.38,36.169890,139.229045,moderado	
11,29,14.80,29.98,24.921084,90.440830,quente	
11,30,22.74,31.08,7.228535,81.890476,alerta	
11,28,22.26,30.53,7.230814,4.048579,alerta	
11,29,17.64,32.89,20.091252,75.070195,alerta	
11,29,-24.81,24.39,44.200005,127.449947,frio	
11,30,18.65,33.83,12.050996,9.860531,alerta	
11,29,-22.05,17.11,39.382078,97.800120,frio	
11,30,21.80,30.48,7.229523,4.050680,alerta	
11,29,23.00,30.46,10.450086,76.089763,alerta	
11,29,2.04,30.64,26.521458,114.630212,moderado	
11,29,3.22,30.22,28.130217,120.911414,moderado	
11,29,6.18,28.24,37.779465,16.269997,moderado	
11,28,-8.34,24.05,49.029393,7.349705,frio	
11,29,-10.04,21.66,42.589543,144.000156,frio	
11,29,1.83,26.66,36.171980,141.220743,moderado	
11,29,20.61,31.53,16.869927,73.670146,alerta	
11,29,13.56,37.14,26.521857,73.428552,alerta	
11,28,11.17,36.83,26.519465,78.808906,alerta	
11,29,20.64,29.68,10.449920,77.730091,alerta	
11,29,14.95,30.88,23.310218,89.999859,alerta	
11,29,11.38,36.39,28.132405,77.270088,quente	
11,29,9.02,28.81,21.700351,106.439058,quente	
11,29,-3.52,27.06,36.169083,121.329950,moderado	
11,29,22.12,29.33,8.840289,124.048615,alerta	
11,29,-8.71,23.34,49.030422,9.800042,frio	
11,29,-5.31,22.71,50.629964,3.799277,moderado	
11,29,-12.18,23.11,50.629865,16.480831,frio	
11,29,1.41,29.24,39.379839,22.888909,moderado	
11,29,-7.15,27.95,37.779910,56.948673,moderado	
11,29,22.27,30.72,7.230092,4.050553,alerta	
11,30,-1.95,30.71,32.949736,119.680726,moderado	
11,29,21.55,27.85,4.020413,102.050078,quente	
11,29,0.80,29.38,37.779646,28.468752,moderado	
11,29,1.58,25.20,29.739981,103.380007,moderado	
11,29,-0.55,31.02,31.349633,120.629816,moderado	
11,29,-5.23,31.68,34.561364,50.589203,moderado	
11,29,-32.07,23.58,50.629864,128.030895,frio	
11,29,-19.28,24.01,53.839648,34.088755,frio	
11,29,6.52,34.68,28.129839,53.638165,quente	
11,29,-1.76,27.10,36.169743,139.230311,moderado	
11,29,12.18,36.08,24.919506,83.349895,alerta	
11,29,19.92,26.55,5.630311,9.689551,quente	
11,30,-29.16,20.72,60.269142,58.381000,frio	
11,29,19.56,27.61,12.048888,108.490596,quente	
11,29,-8.04,23.35,49.029908,7.349870,frio	
11,29,-13.69,26.74,40.989901,121.421299,frio	
11,29,9.26,35.15,29.740326,77.540840,quente	
11,29,21.50,35.03,13.659788,80.091495,alerta	
11,29,17.61,30.91,18.479759,84.512126,alerta	
11,29,-8.57,26.10,36.170908,113.369550,moderado	
11,29,14.16,21.32,8.840804,38.111083,moderado	
11,29,12.40,37.65,26.519097,50.149894,alerta	
11,28,-10.99,25.47,39.381114,124.860444,frio	
11,29,13.01,29.10,26.519082,93.130237,quente	
11,29,19.79,33.92,16.869543,82.050411,alerta	
11,29,-11.61,18.34,47.419787,10.658797,frio	
11,29,-10.07,26.66,36.168341,111.381147,moderado	
11,29,-1.44,29.75,29.738332,55.379986,moderado	
11,30,22.47,31.16,12.050305,105.210164,alerta	
